Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,TSLA,UNH,V,VZ,WMT
2024-09-09,220.4248809814453,320.7430725097656,175.39999389648438,248.85289001464844,162.91000366210938,331.6283874511719,244.7106170654297,47.68516540527344,137.35972595214844,87.95027923583984,483.7627258300781,361.3123474121094,199.10894775390625,200.60205078125,163.9712677001953,213.06985473632812,70.30479431152344,287.88604736328125,127.15320587158203,112.75846862792969,404.0992431640625,78.68807220458984,106.44377136230469,173.97007751464844,362.4381103515625,238.0754852294922,216.27000427246094,587.2291870117188,284.5891418457031,40.68715286254883,76.95768737792969
2024-09-10,219.62661743164062,323.7052307128906,179.5500030517578,243.39817810058594,160.07000732421875,331.7475280761719,245.10891723632812,47.77328872680664,135.33309936523438,88.01002502441406,462.53369140625,366.6007385253906,198.90109252929688,202.36631774902344,164.72906494140625,202.013916015625,70.01123809814453,287.86627197265625,128.76661682128906,112.68030548095703,412.5453796386719,77.30220031738281,108.0733642578125,175.67953491210938,370.356201171875,236.88534545898438,226.1699981689453,592.102294921875,284.32012939453125,41.563167572021484,78.42041778564453
2024-09-11,222.17103576660156,324.7385559082031,184.52000427246094,252.0860137939453,161.3300018310547,332.58148193359375,248.50436401367188,48.08662033081055,134.99044799804688,87.93037414550781,466.5339660644531,366.2251281738281,201.95957946777344,206.8705596923828,162.20960998535156,203.6551055908203,69.55135345458984,286.83843994140625,128.9051971435547,112.07453918457031,421.3500671386719,77.60906982421875,116.88119506835938,171.85548400878906,370.1072082519531,229.39744567871094,228.1300048828125,582.9295654296875,282.9450378417969,41.705997467041016,78.45027160644531
2024-09-12,222.28079223632812,324.8172912597656,187.0,253.04800415039062,162.77000427246094,337.12835693359375,252.28811645507812,48.57619857788086,136.29257202148438,88.90605163574219,469.3954772949219,370.1197509765625,202.58316040039062,208.56582641601562,162.03245544433594,203.03598022460938,69.69812774658203,288.9336853027344,130.6868896484375,112.60213470458984,425.29425048828125,77.60906982421875,119.12083435058594,171.41082763671875,372.4676513671875,232.184326171875,229.80999755859375,581.6148681640625,284.35003662109375,41.76313018798828,79.26622772216797
2024-09-13,222.01136779785156,327.1693115234375,186.49000549316406,256.8663024902344,156.77000427246094,342.8170166015625,253.48301696777344,48.762237548828125,137.66322326660156,90.15054321289062,474.2769775390625,375.6157531738281,202.06845092773438,211.7000732421875,162.89852905273438,200.7953338623047,70.35328674316406,293.0648193359375,131.82518005371094,113.1981201171875,428.869873046875,78.2129135131836,119.0808334350586,172.0135955810547,373.89190673828125,235.8737335205078,230.2899932861328,587.4467163085938,286.3229675292969,42.305877685546875,80.20157623291016
2024-09-16,215.84495544433594,329.9346923828125,184.88999938964844,258.9391174316406,155.5500030517578,345.4478759765625,255.81301879882812,49.96660614013672,139.11219787597656,91.4448013305664,480.38629150390625,377.6125183105469,202.59304809570312,214.03598022460938,164.34524536132812,204.2742462158203,71.03307342529297,293.2229309082031,133.2406463623047,116.02094268798828,429.61688232421875,78.99494934082031,116.7612075805664,175.13607788085938,377.5372009277344,240.2672882080078,226.77999877929688,584.3914794921875,289.4417724609375,42.84862518310547,80.16177368164062
2024-09-17,216.31390380859375,327.51373291015625,186.8800048828125,263.2135925292969,156.38999938964844,351.13653564453125,254.100341796875,49.555362701416016,140.404541015625,92.45034790039062,480.614013671875,378.8283386230469,202.1575469970703,211.04957580566406,164.42398071289062,205.64027404785156,70.73751831054688,290.3172912597656,132.2112274169922,116.34552001953125,433.41168212890625,79.82647705078125,115.57140350341797,173.792236328125,376.4814758300781,239.55320739746094,227.8699951171875,573.3016357421875,290.5179138183594,41.97260665893555,78.21146392822266
2024-09-18,220.20535278320312,327.6318664550781,186.42999267578125,260.02008056640625,155.11000061035156,352.5561828613281,251.7467498779297,49.516197204589844,140.94302368164062,93.16717529296875,479.81195068359375,379.5895080566406,199.58404541015625,211.84791564941406,163.51853942871094,203.94993591308594,70.6882553100586,288.61737060546875,132.00335693359375,116.68977355957031,429.0890197753906,80.08385467529297,113.35176086425781,171.85548400878906,373.80224609375,237.77793884277344,227.1999969482422,575.969970703125,287.44891357421875,41.78217315673828,78.63933563232422
2024-09-19,228.3673858642578,330.6137390136719,189.8699951171875,266.5359802246094,154.58999633789062,370.6148986816406,265.27001953125,50.368064880371094,141.95143127441406,93.0377426147461,498.87255859375,385.84661865234375,201.623046875,210.81301879882812,162.20960998535156,206.84906005859375,69.57498168945312,290.4161376953125,132.4784698486328,115.30294799804688,436.9375305175781,80.16304779052734,117.85104370117188,169.50372314453125,378.22442626953125,235.6257781982422,243.9199981689453,572.4188232421875,284.2204895019531,41.839298248291016,77.65422821044922
2024-09-20,227.6988525390625,332.0210266113281,191.60000610351562,266.77398681640625,153.2899932861328,366.15728759765625,266.07781982421875,50.887020111083984,142.626953125,93.33641815185547,493.52569580078125,385.3721618652344,201.27662658691406,214.56820678710938,161.56007385253906,207.4485321044922,70.57988739013672,293.3612976074219,133.39901733398438,115.24393463134766,433.53118896484375,85.64714813232422,115.98133850097656,172.1519317626953,376.9993591308594,236.56796264648438,238.25,570.365478515625,283.7521667480469,42.210655212402344,78.669189453125
