,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2023-08-30,186.28466796875,246.3732452392578,135.07000732421875,156.73712158203125,228.8500061035156,275.4350280761719,213.5100860595703,53.89506149291992,150.30413818359375,83.25153350830078,316.62579345703125,318.5511779785156,182.56056213378903,139.2193145751953,156.19442749023438,142.03172302246094,57.33303451538086,272.8115539550781,82.69143676757812,104.8832550048828,325.036865234375,99.20478057861328,49.237117767333984,148.4503631591797,266.6803283691406,155.95364379882812,478.3927307128906,243.4334259033203,30.74970245361328,52.755558013916016
2023-08-31,186.5030670166016,244.9019317626953,138.00999450683594,154.60385131835938,224.02999877929688,274.2643737792969,219.8844451904297,54.407352447509766,151.1674346923828,82.65886688232422,315.7874755859375,318.23321533203125,181.9602813720703,139.19088745117188,154.23876953125,140.27740478515625,56.72623443603516,271.29656982421875,84.44898223876953,103.71271514892578,324.0185852050781,98.82585144042967,49.32807159423828,148.73948669433594,268.2599792480469,155.86660766601562,463.84222412109375,242.88967895507807,31.051517486572266,53.21700668334961
2023-09-01,188.0814971923828,245.2554168701172,138.1199951171875,156.19891357421875,223.3999938964844,279.2593078613281,219.95394897460932,54.87220764160156,154.1701202392578,80.64375305175781,315.48876953125,320.9116516113281,182.3959808349609,140.2431182861328,153.093994140625,140.7471466064453,56.233211517333984,271.0939636230469,84.67066192626953,104.53113555908205,324.9083251953125,99.79100799560548,48.4825325012207,148.90328979492188,271.3204650878906,156.90103149414062,463.5113220214844,245.2920837402344,30.94500160217285,52.876651763916016
2023-09-05,188.3197479248047,242.6759033203125,137.27000427246094,156.57077026367188,222.57000732421875,274.75213623046875,217.13412475585932,54.321964263916016,156.1969451904297,80.19924926757812,311.9715576171875,315.8052978515625,179.79156494140625,140.42324829101562,153.2847900390625,139.1941375732422,55.76862716674805,269.3763732910156,84.59148406982422,102.31375885009766,329.7424621582031,97.80220794677734,48.521514892578125,146.90843200683594,266.15704345703125,155.05458068847656,467.9591674804688,242.55355834960932,30.44788932800293,52.45119857788086
2023-09-06,181.5791473388672,237.8990020751953,135.36000061035156,154.61363220214844,217.9499969482422,275.9911193847656,220.04327392578125,54.22710418701172,156.35646057128906,79.99181365966797,309.4468688964844,314.0903015136719,178.639404296875,140.35687255859375,150.7376708984375,138.9640655517578,55.7307014465332,265.7867431640625,84.21147155761719,101.34305572509766,329.08013916015625,97.66571807861328,47.03919982910156,146.6193084716797,265.6437072753906,155.26724243164062,464.1926574707031,243.36422729492188,30.341367721557617,52.84391784667969
2023-09-07,176.26809692382812,243.03895568847656,137.85000610351562,153.41976928710938,216.0500030517578,274.5570373535156,220.94680786132807,53.8760871887207,156.3658447265625,79.5868148803711,310.2466735839844,316.4219055175781,178.26182556152344,139.84498596191406,152.6647186279297,137.77536010742188,55.304046630859375,268.5754089355469,83.87898254394531,102.72296905517578,326.14404296875,95.47219848632812,46.21958160400391,148.01669311523438,267.70709228515625,156.2983856201172,471.8522644042969,244.3330993652344,30.012916564941406,53.49845886230469
2023-09-08,176.88356018066406,247.8540496826172,138.22999572753906,154.05584716796875,211.2700042724609,275.38629150390625,223.16094970703125,53.762237548828125,156.9007110595703,80.58448791503906,313.6771545410156,316.7012634277344,178.64910888671875,139.9966583251953,153.17031860351562,137.88082885742188,55.304046630859375,269.4342346191406,84.10855102539062,103.77932739257812,330.45428466796875,95.21871948242188,45.55088806152344,147.38063049316406,267.9933776855469,155.53964233398438,469.7418212890625,244.4813537597656,29.69334983825684,53.59663391113281
2023-09-11,178.05499267578125,250.04185485839844,143.10000610351562,154.44729614257812,211.009994506836,275.161865234375,223.70704650878903,53.92351913452149,153.66339111328125,81.51300811767578,312.8388061523437,316.37371826171875,180.2853240966797,140.66024780273438,155.17367553710938,138.48477172851562,55.82551193237305,269.955322265625,85.41484069824219,103.35106658935548,334.0823669433594,94.36080932617188,45.15707015991211,149.13461303710938,270.1653747558594,156.7458953857422,468.38372802734375,244.4122009277344,30.128320693969727,53.78317642211914
2023-09-12,175.0172576904297,248.6947784423828,141.22999572753906,155.1029052734375,210.6499938964844,274.9277648925781,220.0830078125,53.4966049194336,156.52537536621094,82.65886688232422,318.8614196777344,314.36004638671875,183.1898956298828,138.68844604492188,156.0513153076172,140.28700256347656,55.27560043334961,270.8720092773437,84.83690643310547,103.75076293945312,327.9827880859375,93.88311004638672,44.849212646484375,146.51329040527344,265.3080139160156,158.34127807617188,468.8917846679688,244.49127197265625,30.21709251403809,53.84208297729492
2023-09-13,172.9424591064453,245.75225830078125,144.85000610351562,155.7291717529297,208.3999938964844,269.181640625,217.24334716796875,53.39225387573242,155.95297241210938,82.4613037109375,322.7929992675781,313.9747009277344,185.49415588378903,138.9254608154297,156.4424591064453,140.35411071777344,55.40834045410156,271.89483642578125,79.99971008300781,102.59925079345705,332.2238464355469,93.71736907958984,45.46393203735352,147.5348358154297,265.0414428710937,158.69146728515625,468.8331909179688,245.0152587890625,30.05730438232422,53.85517501831055
